id,mum,dad,p
2965,1559,1031,1
2966,1605,497,0.978
2967,1800,1572,1
2968,459,176,1
2969,1781,1395,1
2970,1437,634,1
2971,1612,1199,1
2972,1042,176,1
2973,NA,544,0.998
2974,1024,1412,0.999
2975,1532,911,0.969
2976,NA,NA,0.625
2977,1717,1196,1
2978,1892,1356,1
2979,1674,1543,1
2980,1758,1695,0.828
2981,1888,1695,0.784
2982,1491,1604,0.994
2983,1672,1533,1
2984,1589,929,1
2985,1765,921,1
2986,869,453,0.98
2987,308,1368,0.982
2988,930,1485,0.999
2989,NA,1767,0.987
2990,1042,453,0.997
2991,832,1435,1
3000,1735,1381,1
3001,1725,1610,0.968
3002,1782,1495,0.999
3003,1247,1795,0.98
3004,1193,1590,1
3005,1437,1579,0.985
3006,1170,1871,1
3008,1605,2966,0.864
3009,1705,1750,1
3010,1740,1729,1
3011,1401,1788,1
3012,1247,1287,1
3013,595,1499,1
3014,503,1214,1
3015,1510,1723,0.999
3016,1589,1029,0.999
3017,1415,1018,0.963
3018,1854,1029,1
3019,1042,453,0.927
3020,1772,1729,1
3021,1558,1699,1
3022,1760,2972,1
3023,1605,1485,1
3024,1791,1509,1
3085,1763,1287,1
3086,1536,1787,0.767
3087,1753,1775,1
3088,1429,1886,1
3089,1617,1610,0.995
3090,1362,1509,1
3091,1665,1623,1
3092,1892,1356,0.999
3093,1852,1358,1
3094,1891,1523,0.999
3095,3022,1492,1
3444,1764,1711,1
3445,1605,497,1
3446,NA,1591,0.274
3447,1501,1773,1
3448,2984,501,1
3449,1614,1767,1
3450,1506,1720,1
3451,2987,1739,0.997
3452,1361,1553,1
3453,1563,510,1
3454,2978,1196,0.999
3455,1697,1796,1
3456,1580,1512,0.999
3457,1717,1797,0.995
3458,NA,1610,0.991
3459,1275,1610,1
3460,1725,1587,1
3461,1403,1533,1
3462,1403,1533,1
3463,1778,1607,1
3464,1778,1607,1
3486,1705,1187,1
3487,1043,1412,0.999
3488,1024,1412,1
3489,1503,1606,1
3490,1501,1773,1
3491,1605,497,1
3492,1532,911,0.913
3497,1705,1750,1
3498,2985,1752,1
3499,1716,2976,1
3500,2987,1739,1
3501,1437,1623,1
3502,1895,1754,1
3503,1536,1787,1
3504,930,1485,1
3505,1580,1040,0.999
3506,1559,1165,1
3507,1760,2972,1
3508,1597,1794,1
3509,3508,1171,1
3510,1415,1566,0.998
3511,1195,1579,1
3512,1042,1590,0.999
3513,1042,453,0.874
3514,1821,1504,0.994
3515,1369,1744,0.998
3516,1790,1731,1
3517,1828,1848,1
3518,1503,1774,0.991
3519,NA,1773,1
3520,1388,1611,1
3521,1415,1040,0.992
3564,1685,1608,0.985
3565,1782,1881,1
3566,1491,1356,1
3567,1757,1523,1
3568,1782,1881,1
3569,1763,1287,0.572
3570,1779,1796,1
3571,2975,1611,1
3572,1506,1720,1
3573,2975,1611,1
3574,3090,1381,1
3575,1824,1795,1
3576,1864,1848,1
3577,3022,1489,0.946
3578,1685,1608,1
3579,1536,1512,1
3580,1854,1029,1
3581,1200,1553,1
3590,2963,1796,0.974
3591,1532,911,0.984
3592,2963,1533,1
3593,1893,1871,0.904
3594,1740,1187,1
3595,1893,1871,0.884
3596,1401,1877,1
3597,1170,1579,1
3598,1438,1708,1
3599,1697,1196,0.937
3600,1760,1829,1
3601,1772,1729,0.961
3602,1193,1590,0.999
3603,1559,2960,0.991
3604,1725,1587,1
3605,1195,1871,0.999
3606,3003,1710,1
3607,2984,2960,1
3608,1705,1750,1
3611,3508,1171,1
3612,3009,1742,1
3613,3508,1171,1
3614,1757,1831,1
3615,1857,1606,1
3616,1763,1287,1
3617,1827,1783,1
3618,1369,1744,1
3619,1429,1886,1
3641,919,1616,1
3642,1891,510,1
3643,1665,1623,1
3644,1580,1766,1
3645,1576,1512,1
3646,1790,2964,1
3647,2989,1731,1
3648,1851,1199,1
3649,1821,1504,0.999
3650,1781,1512,0.954
3651,1678,1412,0.999
3652,1024,1616,1
3653,1891,1523,0.995
3688,1791,1509,1
3689,1605,911,1
3690,1589,929,0.995
3691,1043,1412,1
3692,1672,1533,1
3694,NA,1395,0.943
3695,1437,1623,1
3696,NA,NA,0.34
3697,1753,1606,0.999
3698,3003,1566,1
3699,2968,1769,1
3700,1678,1412,1
3701,1043,1682,1
3702,1716,1877,1
3741,NA,498,0.437
3742,NA,929,0.792
3745,1218,544,0.976
3754,840,495,1
3758,925,922,0.993
3761,1235,1039,1
3766,500,494,1
3785,827,176,0.816
3793,1173,1041,1
3794,853,634,0.893
3810,530,637,1
3829,675,846,1
3831,1182,846,0.994
3840,912,922,0.615
3844,639,1028,0.626
3849,1043,1276,1
3863,925,837,1
3866,925,837,1
3871,169,890,0.848
3877,524,NA,0.455
3931,524,629,0.995
3944,1190,1191,0.816
3946,774,1198,1
3964,1418,922,0.654
3976,840,597,1
3986,924,220,1
3987,1246,609,0.999
3994,1218,1199,0.514
4017,447,176,0.998
4042,522,1360,1
4057,833,497,1
4064,NA,NA,0.37
4086,938,1028,1
4194,869,1495,1
4235,NA,1794,1
4255,454,44,0.521
4256,878,NA,0.57
4257,641,NA,0.608
