id	dam	sire	LLRdam	LLRsire	LLRpair	OHdam	OHsire	MEpair
6548	5543	6136	11.4	47.01	39.58	0	0	0
6370	5525	6017	4.38	4.97	12.41	0	0	0
6727	3462	5590	3.91	8.89	25.37	0	0	0
6781	NA	NA	NA	NA	NA	NA	NA	NA
6864	6673	6193	7.98	-0.18	13.51	0	0	0
6888	6036	6163	10.05	19.15	15.74	0	0	0
7108	5640	NA	12.18	NA	NA	0	NA	NA
6785	5545	6565	23.59	6.21	19.27	0	0	0
6755	6138	5292	1.53	8.81	8.93	0	0	0
6861	6188	6574	8.93	0.63	38.19	0	0	0
6737	1826	5581	8.56	-2.1	10.08	0	0	2
7068	NA	4947	NA	12.88	NA	NA	0	NA
6574	6211	6011	24.38	-3.6	27.03	0	0	0
6838	6143	3089	-6.85	15.93	9.64	0	0	0
6924	6229	6155	9.72	-2.15	27.72	0	0	0
6694	6143	3089	16.16	13.31	25.7	0	0	0
6753	6048	5776	0.6	0.66	1.12	0	0	0
6894	5615	1777	-4.67	2.06	2.93	0	1	2
6879	5543	5639	11.8	-2.71	18.08	0	0	0
6782	5618	1582	0.22	-8.36	1.86	0	0	4
6788	5823	5839	5.17	16.56	23.56	0	0	0
6745	6022	5645	-12.18	-9.09	7.94	1	3	4
7083	NA	NA	NA	NA	NA	NA	NA	NA
6856	6187	NA	1.41	NA	NA	0	NA	NA
6868	6185	6163	19.64	4.16	-8.1	0	1	4
6735	NA	6249	NA	6.3	NA	NA	0	NA
6750	6554	5779	1.12	12.66	22.48	0	0	0
6704	5634	6567	13.63	63.19	32.54	0	0	0
6852	5843	6230	0.91	6.57	11.1	0	0	0
7099	6211	6570	31.83	20.19	28.53	0	0	0
7109	5545	6565	11.25	8.88	34.39	0	0	0
6689	1487	NA	1.52	NA	NA	2	NA	NA
6377	5521	5118	16.44	3.59	19.17	0	0	0
6925	6551	6167	7.73	-11.32	0.66	0	0	0
6846	5524	6314	-1.4	5.34	22.67	0	0	0
6844	NA	4951	NA	7.4	NA	NA	0	NA
7102	6034	5590	-7.61	7.95	6.12	0	0	0
6889	5846	6231	4.09	15.14	12.96	0	0	0
7103	6188	6574	15.6	7.88	15.56	0	0	0
6740	NA	5291	NA	5.99	NA	NA	0	NA
6747	4965	5538	2.13	2.38	-0.75	0	0	4
6698	6028	3456	6.38	-7.72	15.71	0	0	0
6550	5524	4860	13.55	-2.93	-10.8	0	0	0
6847	3094	5855	20.7	3.15	12.58	0	0	0
6766	NA	5538	NA	9.76	NA	NA	0	NA
6887	5511	6032	-8.36	14.86	-7.85	1	0	2
6892	6568	5523	-1.85	-5.97	11.82	0	0	0
6662	5838	5820	-6.55	26.44	20.24	0	0	0
6675	5543	5588	4.18	22.7	35.36	0	0	0
6908	6377	NA	7.55	NA	NA	0	NA	NA
6654	5901	6019	25.46	-3.63	15.4	0	0	0
7069	5530	3089	36.3	-4.97	24.58	0	0	0
6878	NA	6751	NA	30.1	NA	NA	0	NA
6668	6147	5837	-0.72	8.25	20.84	0	0	0
6759	6185	3486	12.71	18.17	23.63	0	0	0
6786	6169	NA	8.26	NA	NA	0	NA	NA
6902	5545	5626	20.84	7.31	1.53	0	0	2
6732	5543	4860	28.14	14.51	88.2	0	0	3
6918	6161	6163	13.64	19.9	22.9	0	0	0
7101	6233	5639	4.59	10.38	21.63	0	0	0
6761	5825	6172	15.04	-14	3.47	0	0	0
6843	NA	1769	NA	21.76	NA	NA	0	NA
6834	6670	5821	49.13	11.48	16.38	0	0	0
6733	6028	5829	-0.6	5.9	7.43	0	0	0
6896	NA	NA	NA	NA	NA	NA	NA	NA
6765	6009	5787	10.61	16.35	0.77	0	0	0
6881	4958	5626	-2.78	9.62	4.19	0	0	0
6739	5838	6294	4.78	12.88	18.97	0	0	0
6920	6187	NA	0.51	NA	NA	0	NA	NA
6773	3488	5210	11.86	4.88	4.18	0	0	3
6840	6186	6384	1.69	10.41	9.97	0	0	0
6699	5173	NA	19.58	NA	NA	0	NA	NA
6754	3595	5292	0.98	10.64	21.51	0	0	0
7088	6707	5839	-1.97	3.84	17.05	0	3	3
7100	NA	6708	NA	19.6	NA	NA	0	NA
7070	NA	NA	NA	NA	NA	NA	NA	NA
6729	3490	5679	4.15	14.2	7.96	0	0	3
6901	6904	6045	15.1	8.83	19.65	2	0	2
6757	6740	5291	8.06	20.5	15.03	0	0	2
6895	5657	1762	7.02	6.21	29.27	0	0	0
6742	3462	5590	12.47	-0.34	27.65	0	0	0
6709	5537	5602	-5.53	11.74	24.93	0	0	0
6706	5749	5639	14.37	14.2	26.51	0	0	0
7090	6188	6574	8.09	7.37	28.46	0	0	0
6914	6143	3089	17.72	13.7	19.56	0	0	0
7104	NA	6219	NA	19.14	NA	NA	0	NA
6570	3094	5834	17.43	16.54	11.12	0	0	0
6835	5543	6570	-6.18	15.88	8.8	0	0	0
6751	5634	6788	11.88	16.71	32.02	0	2	2
6707	1278	6011	14.66	11.3	-6.79	0	0	1
6728	5630	2966	-3.38	6.06	15.47	0	0	0
853	NA	NA	NA	NA	NA	NA	NA	NA
1421	1345	NA	32.81	NA	NA	0	NA	NA
776	NA	637	NA	18.18	NA	NA	0	NA
6873	6191	6163	3.67	19.28	21.97	0	0	0
6875	NA	5560	NA	20.84	NA	NA	0	NA
854	601	642	8.65	4.64	11.68	0	0	1
6692	NA	4866	NA	11.98	NA	NA	3	NA
1036	542	673	0.83	22	22.32	0	0	0
6897	5851	6032	-3.66	13.24	16.12	0	0	0
